74,97174,M Educação,,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
75,97175,80 Educação,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
76,97180,N Saúde e serviços sociais,,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
77,97181,85 Saúde e serviços sociais,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
78,97185,"O Outros serviços coletivos, sociais e pessoais",,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
79,97186,90 Limpeza urbana e esgoto e atividades relacionadas,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
80,97188,91 Atividades associativas,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
81,97192,"92 Atividades recreativas, culturais e desportivas",,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
82,97199,93 Serviços pessoais,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
83,97201,P Serviços domésticos,,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
84,97202,95 Serviços domésticos,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
85,97204,Q Organismos internacionais e outras instituições extraterritoriais,,1,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
86,97205,99 Organismos internacionais e outras instituições extraterritoriais,,2,1734,11939,Classificação Nacional de Atividades Econômicas (CNAE)
